Data;Sigla;Codigo;Codigo ISIN;Emissao;Vencimento;Operacoes;Operacoes_com_corretagem;Qtd_negociada;Qtd_negociada_comCorretagem;Preco_Min_Negociacao;Preco_medio_Negociacao;Preco_Max_Negociacao;Taxa_Min_negociacao;Taxa_media_negociacao;Taxa_max_negociacao
13/08/2018;LFT;210100;BRSTNCLF1R09;11/01/2013;01/09/2018;147;104;119.568;87.691;9.649,68;9.652,00;9.652,08;-0,0016;0,0134;0,4175
13/08/2018;LFT;210100;BRSTNCLF1R17;19/07/2013;01/03/2019;74;43;58.216;43.090;9.648,56;9.651,97;9.651,98;0,0018;0,002;0,0665
13/08/2018;LFT;210100;BRSTNCLF1R25;17/01/2014;01/03/2020;27;11;7.042;3.370;9.648,95;9.651,21;9.652,07;0;0,0058;0,0209
13/08/2018;LFT;210100;BRSTNCLF1R33;18/07/2014;01/09/2020;60;15;7.841;2.921;9.553,99;9.651,09;9.651,30;0,0039;0,0049;0,5
13/08/2018;LFT;210100;BRSTNCLF1R41;09/01/2015;01/03/2021;80;18;49.604;10.000;9.639,95;9.650,44;9.673,72;-0,0884;0,0067;0,0496
13/08/2018;LFT;210100;BRSTNCLF1R58;08/05/2015;01/09/2021;66;21;137.091;127.788;9.646,89;9.649,78;9.650,34;0,0059;0,0077;0,0176
13/08/2018;LFT;210100;BRSTNCLF1R66;08/01/2016;01/03/2022;33;9;18.993;6.036;9.642,04;9.648,76;9.649,20;0,0084;0,0097;0,0294
13/08/2018;LFT;210100;BRSTNCLF1R74;08/07/2016;01/09/2022;34;8;11.998;1.345;9.642,63;9.647,68;9.652,07;0;0,0112;0,0242
13/08/2018;LFT;210100;BRSTNCLF1R82;13/01/2017;01/03/2023;58;19;15.608;1.934;9.597,11;9.645,03;9.652,07;0;0,016;0,126
13/08/2018;LFT;210100;BRSTNCLF1R90;14/07/2017;01/09/2023;114;22;60.529;42.639;9.593,69;9.644,44;9.653,53;-0,0029;0,0157;0,1204
13/08/2018;LFT;210100;BRSTNCLF1RA8;05/01/2018;01/03/2024;36;9;24.982;4.237;9.635,81;9.641,09;9.644,23;0,0147;0,0206;0,0305
13/08/2018;LFT;210100;BRSTNCLF0008;06/07/2018;01/09/2024;15;5;26.250;23.226;9.638,14;9.639,07;9.639,36;0,0218;0,0223;0,0239
13/08/2018;LTN;100000;BRSTNCLTN7E1;08/07/2016;01/10/2018;19;4;848.513;187.170;991,577084;991,598928;991,639928;6,42;6,4526;6,47
13/08/2018;LTN;100000;BRSTNCLTN764;09/01/2015;01/01/2019;25;4;1.357.353;100.200;974,953922;975,543297;975,667214;6,68;6,7155;6,885
13/08/2018;LTN;100000;BRSTNCLTN7G6;06/01/2017;01/04/2019;20;4;1.160.432;350.000;957,297694;957,526389;957,915112;7,145;7,2148;7,2559
13/08/2018;LTN;100000;BRSTNCLTN798;03/07/2015;01/07/2019;9;0;348.800;0;936,888172;938,366617;940,072272;7,37;7,5946;7,79
13/08/2018;LTN;100000;BRSTNCLTN7H4;07/07/2017;01/10/2019;19;3;411.814;165.000;915,538477;916,522856;919,143218;7,74;8,0123;8,115
13/08/2018;LTN;100000;BRSTNCLTN7B7;08/01/2016;01/01/2020;26;8;1.807.467;450.000;892,437783;894,674829;898,322671;8,05;8,3679;8,564
13/08/2018;LTN;100000;BRSTNCLTN7F8;08/07/2016;01/07/2020;62;21;1.670.552;475.620;848,752235;851,807931;857,678885;8,542;8,9407;9,15
13/08/2018;LTN;100000;BRSTNCLTN004;06/07/2018;01/10/2020;15;12;673.500;553.500;827,616785;828,154992;828,424249;9,235;9,2516;9,285
13/08/2018;LTN;100000;BRSTNCLTN7I2;07/07/2017;01/07/2021;53;8;564.560;132.052;758,592146;764,755249;774,000075;9,34;9,7988;10,109
13/08/2018;LTN;100000;BRSTNCLTN7K8;05/01/2018;01/01/2022;136;22;6.395.535;831.890;704,268062;718,103531;726,581891;9,92;10,3027;10,94
13/08/2018;LTN;100000;BRSTNCLTN7O0;21/06/2018;01/07/2022;23;4;561.425;54.300;671,766977;675,847049;682,186023;10,39;10,6566;10,83
13/08/2018;NTN-B;760199;BRSTNCNTB3X2;13/10/2011;15/08/2018;113;3;11.829;334;3.224,83;3.225,59;3.225,62;;;
13/08/2018;NTN-B;760199;BRSTNCNTB4N1;15/01/2014;15/05/2019;63;8;469.398;24.521;3.224,74;3.239,49;3.240,68;;;
13/08/2018;NTN-B;760199;BRSTNCNTB3A0;14/01/2009;15/08/2020;44;3;261.634;1.870;3.298,81;3.320,70;3.342,19;;;
13/08/2018;NTN-B;760197;BRSTNCNTB3Z7;17/04/2012;15/02/2021;3;0;11.056;0;82,652174;82,813863;83,043876;;;
13/08/2018;NTN-B;760199;BRSTNCNTB4T8;06/01/2016;15/05/2021;135;4;1.042.315;2.001;3.271,39;3.276,28;3.296,41;;;
13/08/2018;NTN-B;760197;BRSTNCNTB401;17/04/2012;15/08/2021;1;0;1.340;0;80,612192;80,612192;80,612192;;;
13/08/2018;NTN-B;760197;BRSTNCNTB419;17/04/2012;15/02/2022;8;0;21.769;0;77,481713;77,798292;77,964289;;;
