"Data";"Sigla";"Codigo";"Codigo ISIN";"Emissao";"Vencimento";"Operacoes";"Operacoes_com_corretagem";"Negoc_realizadas";"Qtd_negociada_comCorretagem";"Preco_Min_Negociacao";"Preco_medio_Negociacao";"Preco_Max_Negociacao";"Dif_preco"
2018-08-13;"LFT";210100;"BRSTNCLF1R09";2013-01-11;2018-09-01;147;104;119568;87691;9649.68;9652;9652.08;2.39999999999964
2018-08-13;"LFT";210100;"BRSTNCLF1R17";2013-07-19;2019-03-01;74;43;58216;43090;9648.56;9651.97;9651.98;3.42000000000007
2018-08-13;"LFT";210100;"BRSTNCLF1R25";2014-01-17;2020-03-01;27;11;7042;3370;9648.95;9651.21;9652.07;3.1200000000008
2018-08-13;"LFT";210100;"BRSTNCLF1R33";2014-07-18;2020-09-01;60;15;7841;2921;9553.99;9651.09;9651.3;97.3099999999995
2018-08-13;"LFT";210100;"BRSTNCLF1R41";2015-01-09;2021-03-01;80;18;49604;10000;9639.95;9650.44;9673.72;33.7700000000023
2018-08-13;"LFT";210100;"BRSTNCLF1R58";2015-05-08;2021-09-01;66;21;137091;127788;9646.89;9649.78;9650.34;3.45000000000073
2018-08-13;"LFT";210100;"BRSTNCLF1R66";2016-01-08;2022-03-01;33;9;18993;6036;9642.04;9648.76;9649.2;7.15999999999985
2018-08-13;"LFT";210100;"BRSTNCLF1R74";2016-07-08;2022-09-01;34;8;11998;1345;9642.63;9647.68;9652.07;9.43999999999869
2018-08-13;"LFT";210100;"BRSTNCLF1R82";2017-01-13;2023-03-01;58;19;15608;1934;9597.11;9645.03;9652.07;54.9599999999991
2018-08-13;"LFT";210100;"BRSTNCLF1R90";2017-07-14;2023-09-01;114;22;60529;42639;9593.69;9644.44;9653.53;59.8400000000001
2018-08-13;"LFT";210100;"BRSTNCLF1RA8";2018-01-05;2024-03-01;36;9;24982;4237;9635.81;9641.09;9644.23;8.42000000000189
2018-08-13;"LFT";210100;"BRSTNCLF0008";2018-07-06;2024-09-01;15;5;26250;23226;9638.14;9639.07;9639.36;1.21999999999753
2018-08-13;"LTN";1e+05;"BRSTNCLTN7E1";2016-07-08;2018-10-01;19;4;848513;187170;991.577084;991.598928;991.639928;0.0628439999999273
2018-08-13;"LTN";1e+05;"BRSTNCLTN764";2015-01-09;2019-01-01;25;4;1357353;100200;974.953922;975.543297;975.667214;0.71329199999991
2018-08-13;"LTN";1e+05;"BRSTNCLTN7G6";2017-01-06;2019-04-01;20;4;1160432;350000;957.297694;957.526389;957.915112;0.61741799999993
2018-08-13;"LTN";1e+05;"BRSTNCLTN7H4";2017-07-07;2019-10-01;19;3;411814;165000;915.538477;916.522856;919.143218;3.60474099999988
2018-08-13;"LTN";1e+05;"BRSTNCLTN7B7";2016-01-08;2020-01-01;26;8;1807467;450000;892.437783;894.674829;898.322671;5.88488799999993
2018-08-13;"LTN";1e+05;"BRSTNCLTN7F8";2016-07-08;2020-07-01;62;21;1670552;475620;848.752235;851.807931;857.678885;8.92665000000022
2018-08-13;"LTN";1e+05;"BRSTNCLTN004";2018-07-06;2020-10-01;15;12;673500;553500;827.616785;828.154992;828.424249;0.807463999999868
2018-08-13;"LTN";1e+05;"BRSTNCLTN7I2";2017-07-07;2021-07-01;53;8;564560;132052;758.592146;764.755249;774.000075;15.4079290000001
2018-08-13;"LTN";1e+05;"BRSTNCLTN7K8";2018-01-05;2022-01-01;136;22;6395535;831890;704.268062;718.103531;726.581891;22.3138290000001
2018-08-13;"LTN";1e+05;"BRSTNCLTN7O0";2018-06-21;2022-07-01;23;4;561425;54300;671.766977;675.847049;682.186023;10.419046
2018-08-13;"NTN-B";760199;"BRSTNCNTB3X2";2011-10-13;2018-08-15;113;3;11829;334;3224.83;3225.59;3225.62;0.789999999999509
2018-08-13;"NTN-B";760199;"BRSTNCNTB4N1";2014-01-15;2019-05-15;63;8;469398;24521;3224.74;3239.49;3240.68;15.9400000000001
2018-08-13;"NTN-B";760199;"BRSTNCNTB3A0";2009-01-14;2020-08-15;44;3;261634;1870;3298.81;3320.7;3342.19;43.3799999999997
2018-08-13;"NTN-B";760199;"BRSTNCNTB4T8";2016-01-06;2021-05-15;135;4;1042315;2001;3271.39;3276.28;3296.41;25.02
