"Id";"Data";"bovespa";"VarBov";"usd";"VarUsd"
"1";2017-01-02;59588.7;-1.06;3.2857;0.95
"2";2017-01-03;61813.83;3.73;3.2652;-0.62
"3";2017-01-04;61589.06;-0.36;3.2163;-1.5
"4";2017-01-05;62070.98;0.78;3.199;-0.54
"5";2017-01-06;61665.37;-0.65;3.2241;0.78
"6";2017-01-09;61700.29;0.06;3.1969;-0.84
"7";2017-01-10;62131.8;0.7;3.1961;-0.03
"8";2017-01-11;62446.26;0.51;3.1975;0.04
"9";2017-01-12;63953.93;2.41;3.1881;-0.29
"10";2017-01-13;63651.52;-0.47;3.2213;1.04
"11";2017-01-16;63831.28;0.28;3.2418;0.64
"12";2017-01-17;64354.34;0.82;3.2115;-0.93
"13";2017-01-18;64149.58;-0.32;3.2309;0.6
"14";2017-01-19;63950.86;-0.31;3.1965;-1.06
"15";2017-01-20;64521.18;0.89;3.169;-0.86
"16";2017-01-23;65748.63;1.9;3.1633;-0.18
"17";2017-01-24;65840.09;0.14;3.1702;0.22
"18";2017-01-26;66190.62;0.53;3.178;0.25
"19";2017-01-27;66033.99;-0.24;3.141;-1.16
"20";2017-01-30;64301.73;-2.62;3.127;-0.45
"21";2017-01-31;64670.78;0.57;3.1509;0.76
"22";2017-02-01;64836.13;0.26;3.1295;-0.68
"23";2017-02-02;64578.22;-0.4;3.124;-0.18
"24";2017-02-03;64953.93;0.58;3.1177;-0.2
"25";2017-02-06;63992.93;-1.48;3.116;-0.05
"26";2017-02-07;64198.9;0.32;3.1205;0.14
"27";2017-02-08;64835.4;0.99;3.1175;-0.1
"28";2017-02-09;64964.89;0.2;3.1301;0.4
"29";2017-02-10;66124.53;1.79;3.1158;-0.46
"30";2017-02-13;66967.64;1.28;3.1116;-0.13
"31";2017-02-14;66712.88;-0.38;3.085;-0.85
"32";2017-02-15;67975.58;1.89;3.0575;-0.89
"33";2017-02-16;67814.24;-0.24;3.0892;1.04
"34";2017-02-17;67748.42;-0.1;3.1048;0.5
"35";2017-02-20;68532.86;1.16;3.087;-0.57
"36";2017-02-21;69052.03;0.76;3.0951;0.26
"37";2017-02-22;68589.54;-0.67;3.064;-1
"38";2017-02-23;67461.39;-1.64;3.0595;-0.15
"39";2017-02-24;66662.1;-1.18;3.111;1.68
"40";2017-03-01;66988.88;0.49;3.09;-0.61
"41";2017-03-02;65854.93;-1.69;3.1565;2.15
"42";2017-03-03;66785.53;1.41;3.1158;-1.29
"43";2017-03-06;66341.37;-0.67;3.1386;0.73
"44";2017-03-07;65742.32;-0.9;3.1195;-0.61
"45";2017-03-08;64718.02;-1.56;3.1631;1.4
"46";2017-03-09;64585.24;-0.21;3.1932;0.95
"47";2017-03-10;64675.46;0.14;3.1395;-1.68
"48";2017-03-13;65534.3;1.33;3.1529;0.43
"49";2017-03-14;64699.46;-1.27;3.1685;0.49
"50";2017-03-15;66234.87;2.37;3.1037;-2.05
"51";2017-03-16;65782.85;-0.68;3.1185;0.48
"52";2017-03-17;64209.94;-2.39;3.0918;-0.86
"53";2017-03-20;64884.27;1.05;3.0726;-0.62
"54";2017-03-21;62980.37;-2.93;3.0884;0.51
"55";2017-03-22;63521.33;0.86;3.088;-0.01
"56";2017-03-23;63530.79;0.01;3.1395;1.67
"57";2017-03-24;63853.77;0.51;3.1086;-0.98
"58";2017-03-27;64308.39;0.71;3.1265;0.58
"59";2017-03-28;64640.45;0.52;3.1412;0.47
"60";2017-03-29;65528.29;1.37;3.1199;-0.68
"61";2017-03-30;65265.98;-0.4;3.1495;0.95
"62";2017-03-31;64984.07;-0.43;3.1233;-0.83
"63";2017-04-03;65211.48;0.35;3.1147;-0.28
"64";2017-04-04;65768.91;0.85;3.0939;-0.67
"65";2017-04-05;64774.76;-1.51;3.1203;0.85
"66";2017-04-06;64222.72;-0.85;3.1426;0.71
"67";2017-04-07;64593.1;0.58;3.1462;0.11
"68";2017-04-10;64649.81;0.09;3.132;-0.45
"69";2017-04-11;64359.79;-0.45;3.1372;0.17
"70";2017-04-12;63891.68;-0.73;3.1258;-0.36
"71";2017-04-13;62826.28;-1.67;3.1444;0.6
"72";2017-04-17;64334.93;2.4;3.0985;-1.47
"73";2017-04-18;64158.84;-0.27;3.1079;0.3
"74";2017-04-19;63406.97;-1.17;3.1522;1.43
"75";2017-04-20;63760.62;0.56;3.1486;-0.11
"76";2017-04-24;64389.01;0.99;3.128;-0.64
"77";2017-04-25;65148.35;1.18;3.1471;0.61
"78";2017-04-26;64861.92;-0.44;3.1723;0.8
"79";2017-04-27;64676.55;-0.29;3.1834;0.35
"80";2017-04-28;65403.25;1.12;3.1767;-0.21
"81";2017-05-02;66721.75;2.02;3.1517;-0.78
"82";2017-05-03;66093.78;-0.94;3.1652;0.43
"83";2017-05-04;64862.61;-1.86;3.1885;0.74
"84";2017-05-05;65709.74;1.31;3.1774;-0.35
"85";2017-05-08;65526.04;-0.28;3.198;0.65
"86";2017-05-09;66277.67;1.15;3.1902;-0.24
"87";2017-05-10;67349.73;1.62;3.1678;-0.7
"88";2017-05-11;67537.61;0.28;3.1403;-0.87
